0,1,2,3,4
3.0,2.0117470673706808,0.0,14.0,-2.3186210975638253
2.0,0.4541316431931517,5.0,8.0,1.092288832851603
0.0,-1.926477936537364,6.0,9.0,-2.695227061041525
4.0,0.4410364524106566,15.0,10.0,-0.0754154360948858
0.0,-0.5831862989712892,9.0,10.0,2.1982507027556144
0.0,0.0172128827340605,18.0,6.0,-0.2408834932717647
1.0,1.1113019082584334,7.0,2.0,-2.891968735261575
3.0,-0.9642197419392108,9.0,5.0,-2.1530836355582097
3.0,-0.1102009092375434,14.0,14.0,5.49590052319593
4.0,4.5482686721618775,4.0,9.0,-0.7090920203743587
1.0,-0.4121671388957407,14.0,11.0,3.2781226228396187
4.0,-0.1537586532481006,1.0,4.0,-0.4956368962700319
2.0,-1.6820162609343718,10.0,4.0,0.7344568196439233
2.0,-0.1117722055024148,1.0,11.0,0.1422420670253369
3.0,1.2399975494691573,8.0,14.0,-6.596248947425217
4.0,0.8552132253867445,5.0,4.0,0.9817459870648187
3.0,-0.479094146980348,10.0,12.0,1.2298317454098957
4.0,0.0261970989468968,14.0,1.0,0.5323430303582692
0.0,-1.21688067269897,2.0,13.0,-1.8557823428440243
4.0,-2.341748995348637,5.0,11.0,1.4589776005486192
2.0,-0.2228262866396332,17.0,6.0,-5.422873797705738
0.0,-0.1069539601873553,3.0,6.0,0.1527108653115175
1.0,-0.7612025247760807,13.0,3.0,-1.994946288198146
0.0,-0.4907948702443392,16.0,4.0,2.4527823477294524
2.0,-1.5585658932281086,6.0,3.0,-0.6009078229136191
4.0,-1.631792828258863,0.0,4.0,0.1417572356272234
4.0,-0.0123434893863501,14.0,1.0,1.7291917145380975
1.0,-0.0831914548204324,7.0,9.0,-0.0600769548532203
1.0,0.3202396322731689,2.0,14.0,0.1840847647290295
3.0,2.90440990742427,11.0,9.0,2.002184055229641
3.0,-1.6201199416120893,1.0,0.0,2.3974828135094195
4.0,0.0714102527955185,3.0,11.0,1.5906181771266683
0.0,1.8737228724060448,13.0,13.0,0.8637144942479033
2.0,0.8660064487886113,8.0,1.0,2.3661434667877987
1.0,-0.3936255075073718,17.0,5.0,-1.5663351053132837
4.0,-0.290141029212426,14.0,5.0,-0.0316194373387661
4.0,1.1965052574009911,2.0,13.0,1.5141489382226614
2.0,-1.0643202243472354,1.0,13.0,-1.239156366775351
2.0,1.5012174210046147,15.0,7.0,0.8702979666995048
