0,1,2,3,4
3.0,-0.5864275677074704,6.0,14.0,-3.4126855321243057
4.0,-0.5528675242486931,7.0,7.0,-0.8681715332151603
4.0,-0.5047048142400044,7.0,14.0,0.6991936039202585
0.0,1.2428308035177282,16.0,4.0,-0.2737095683436384
4.0,1.2759123637740422,15.0,7.0,1.8873211764533475
3.0,0.90337256808088,15.0,7.0,1.1039140172526287
0.0,0.6400506603746379,12.0,7.0,1.31258539741422
3.0,-3.2651187007840745,9.0,4.0,-0.6232348402955604
0.0,0.1850431391406837,3.0,10.0,-1.53266117885799
4.0,0.0806892608869305,12.0,8.0,-1.8479708598262012
1.0,0.757607259027035,9.0,10.0,-0.2039752938978802
4.0,-2.554017448587428,14.0,4.0,0.3151294218909168
2.0,0.9168006811836092,2.0,8.0,2.0510464098663346
2.0,-1.2515116280272702,17.0,0.0,-2.3780340727007143
4.0,0.521267251464779,3.0,14.0,-0.9638348990732848
2.0,-0.2278092230486242,14.0,2.0,-1.1846041306208988
0.0,1.1827294655507237,4.0,3.0,1.1101403746796172
4.0,0.4968261616381909,3.0,9.0,-2.522977483460753
1.0,0.1105618588823796,14.0,2.0,1.875723750288664
3.0,-0.5364245817412128,8.0,13.0,1.825157963583325
4.0,-0.1537586532481006,1.0,4.0,-0.4956368962700319
1.0,-1.5976319190202166,12.0,3.0,-0.9506632849279082
0.0,0.6168436774584739,7.0,10.0,-0.7880573845537313
1.0,0.8557933648248163,17.0,9.0,-1.7457771757481688
0.0,-0.1675608495628008,18.0,7.0,1.2679849552948934
4.0,0.3220587381264179,5.0,3.0,2.7356409279803606
0.0,2.0136423611847154,2.0,12.0,2.54170296484174
2.0,-0.437628327813118,8.0,7.0,-0.3146422658130103
0.0,1.6467668598854808,16.0,8.0,-2.0540018411262686
2.0,0.7947695805193337,13.0,2.0,0.8626216079294076
0.0,-1.501074737758037,12.0,3.0,4.52084394332736
2.0,0.024724866600132,4.0,8.0,-0.344933186045647
0.0,0.2476230619723313,18.0,4.0,-1.131060448779935
1.0,-0.2172153509316544,1.0,5.0,0.865153174805968
0.0,-0.4791699833103707,12.0,10.0,1.0256879770111418
4.0,-1.3660643913473762,6.0,9.0,1.6378959198479748
2.0,-1.5585658932281086,6.0,3.0,-0.6009078229136191
2.0,-0.1117722055024148,1.0,11.0,0.1422420670253369
3.0,-1.284435945493569,14.0,11.0,-0.2508346189500381
0.0,1.1518236352288038,4.0,7.0,0.5012305248491393
3.0,1.220659151634798,13.0,8.0,0.2963081928101112
1.0,-1.5471889661143818,6.0,3.0,-0.0050390168622092
1.0,1.2568689229589942,3.0,9.0,-3.6228783512673215
1.0,0.0466774611140507,6.0,12.0,-0.8174314696947689
1.0,0.4408201476760126,1.0,11.0,-1.1860574480984376
1.0,-1.7347139935410327,6.0,3.0,-1.0062966399690128
2.0,-0.0926617699858809,11.0,1.0,-1.85285515842205
4.0,-0.9647587102449778,16.0,7.0,-0.5017200428289614
2.0,2.001634257060444,18.0,13.0,-2.360999425122339
0.0,1.611634404547922,13.0,8.0,-4.264755873634132
2.0,1.4114860304907817,3.0,2.0,-1.214618273598842
0.0,-1.529650422598965,7.0,3.0,-1.0440396026664804
0.0,0.591213627358519,16.0,13.0,-1.9695521365319155
0.0,0.7377754001198749,4.0,8.0,1.034527195278648
2.0,-0.8547063036436774,4.0,0.0,-1.2812589631774132
3.0,-0.0822831782765941,6.0,8.0,1.0602482804950122
2.0,-1.7408587232328745,18.0,7.0,0.8488551463025215
